node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
0238bb15a12b3da5df3c18e0bd268808f2bf352f58e7fb68a279a41d47f521ea00,7.0,1,0.0,17.14,17.14
02e867c794a0544032eb2fb1cc4a29132a692363006781ed98567b474cf0e9343d,7.0,1,0.0,0.0,0.0
031f8e4c9d882be5b0976d9897f695bd6c66febcd8a67eb1a4f42b9f532f40fd18,7.0,1,0.0,527.06,527.06
037824abf26b48bd8b754273b2781fbc27733f4262c8e0f6147b8603b91e309b0b,7.0,1,0.0,0.0,0.0
03e72a51954b76a4db2632d270802ed8fba41cbfbcf2fc7d236892ed07c2a5e992,7.0,1,0.0,0.0,0.0
03377f891367579d0cdfc2833bc323a1d01514eea40d48cce86d31e398223e0cb3,7.0,1,0.0,0.0,0.0
03f38829a9b9131e3a0887ca21fd042f2d07bd7f151fffefcc3d1585f24c1b3e7e,7.0,1,1.0,0.0,0.0
02875ac2c27835990ef62e5755c34264b2c39f51a41525adc5e52a7f94b3a19f8b,6.950000000000001,5,0.0,29.11,23.549999999999997
026726a4b043d413b45b334876d17b8a98848129604429ec65532ba286a42efeac,6.930000000000001,1,0.0,0.07,0.07000000000000028
022a94ee8d3b1dd52066b33a46a8f1f7ed0d4a9dcf5b0f310ce52e94a392a79299,6.4,4,0.0,22.96,42.720000000000006
03baa70886d9200af0ffbd3f9e18d96008331c858456b16e3a9b41e735c6208fef,6.4,4,0.25,4.34,11.419999999999998
02f24b1e34fd87719377d6aa74864988e23d7b0c80dc6a631f7afd3979fb09949e,6.36,6,0.0,591.34,586.04
02e5353624ec2180f6fd1b584dea493b91f982764db8e2cf520a0f1d18cf0f9d7e,6.36,6,0.0,149.94,144.64
021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f,6.36,6,0.3333333333333333,58.94,173.64
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,6.36,6,0.3333333333333333,29.44,115.64
0238107198ba9e0e5fd5a0c67eac88e3633072885397c5925205891f8985e52078,6.36,6,0.0,60.44,55.14
03587466207e0ff2787d23f5567ab666436f04fc0df7c996b69701b7e77900993e,6.36,6,0.0,23.94,68.64000000000001
03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42,6.36,6,0.3333333333333333,58.88,173.46
034143d1a45cb9bcb912eab97facf4a971098385c4701753d6bc40e52192d0c04f,6.1,10,0.1,29.89,115.9
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,5.891,16,0.5,30.38,329.631
025cb2d324ae423d32984c7fc74edd7185b9fc9bd473d389f12483e3738d526600,5.32,4,0.0,5.93,8.66
03a5886df676f3b3216a4520156157b8d653e262b520281d8d325c24fd8b456b9c,5.300000000000001,5,0.0,5.94,1.6999999999999993
0291831e0f2e8d48b2b76fd0624845c4457ddd2bbef2a1379cbf3724aaff59ef4e,5.300000000000001,5,0.2,0.0,0.0
027e8a9c0afcf99078d71b97fd53d53968ac376f9e1320337e352269c8bcc42b61,5.300000000000001,5,0.0,149.94,145.7
03a8355790b89f4d96963019eb9413b9a2c884691837ac976bacfe25a5212892d7,5.300000000000001,5,0.0,0.0,0.0
0251b2c9d22f3621f27188d8236db84d9fd84d42adac063b2633744638b81f34ac,5.300000000000001,5,0.2,209.88,416.58
02de4ba1b08b2895bde816f012d4b4a5fdd797dfdf6443c28db183ca4a83043835,5.300000000000001,5,0.0,30.5,26.259999999999998
034a0fa8e6d83688f3e19c2bcb93fb9d6f366d6c937dbc3c744cb21db6e093958b,5.300000000000001,5,0.4,0.0,0.0
0267586e510d80fab314fbfa091f383b775646e7a87bc9ed8cd59bcded50405d6a,5.300000000000001,5,0.0,58.94,54.7
0292e8060da527f77be1db34a2a9f0b0baf158094e7424970806d5c9f90f4db312,5.300000000000001,5,0.0,599.94,595.7
02740c62f38896511eb98479036b06907fcac283f62d08b756a1e25fb55e3f6772,5.300000000000001,5,0.2,31.04,91.0
02d558babbb875e3b4d2e43ef02ea6bf713722523ab52d77f6604ba9183013aae4,5.300000000000001,5,0.0,0.0,0.0
032c4b954f0f171b694b5e8e8323589e54196b48cf2efc27692513a360cb11d76f,5.300000000000001,5,0.0,28.44,53.7
02d7cf25ef92bd4dfb6aa9a0e7d955a1225c5f168328b771c6d194fec359302d30,5.300000000000001,5,0.6,30.5,120.94
03c2c348fac3e4953a797ba632ae8379bd4ae0ccc8d2598b7207eb62019fcbd875,5.300000000000001,5,0.6,7.0,26.94
0215bea618806194ad88b80de8bc11c6391edb2fa1beeea6174305856596faeee8,5.300000000000001,5,0.4,5.13,13.27
0398212beaa280eabc2223dcacf248496c59195fea23a7684888cb948baa9f38e6,5.300000000000001,5,0.0,58.94,114.7
02b4cb8be9077c3b14d6aa575bc94adbc0e08f9f2dedfbc5774ded9095079740f0,5.300000000000001,5,0.0,54.12,105.06
03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5,5.300000000000001,5,0.0,118.34,114.10000000000001
03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6,5.300000000000001,5,0.2,5.43,27.15
02a4aa22327ca4f511ebd22b72d6b00ac3b529a7d4c2de7d8ac939a48371559e8e,5.300000000000001,5,0.0,0.0,0.0
03e90fd715dd766a0ed532dc1ba45e5fb913b1dc29d5afd9b700548d98d53b598c,5.300000000000001,5,0.0,0.0,0.0
03cac8425d15440dec66f7a86155f2f457301aa434a6abdb82af2252ef477e7eb0,5.300000000000001,5,0.8,0.0,0.0
0327e003e3c742db9a77f436e672bd42bd4a302ec0f92f0486c4fe09143bcfb0b9,5.300000000000001,5,0.8,0.0,0.0
0354fcd9f1554f3505238e1b3c29223868953730c30b6565ad482dc31e90bcfa93,5.300000000000001,5,0.8,0.0,0.0
027c3abc90a51617fb9cf5162c2fedfd9832c620ef82b54e413e9ce0f892dabb0d,5.300000000000001,5,0.2,571.79,1140.3999999999999
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,4.96,16,0.0625,6.69,16.040000000000003
0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5,4.869000000000001,9,0.2222222222222222,29.02,113.375
